rating_phase1,videoID,emotionName,durationBlackScreen_phase1,rating_phase2,durationBlackScreen_phase2,average_rating,variance_rating,subject_id
2.86,1035,disgust,900,4.65,2600,3.755,1.2657211383239204,O4mOO2W80Od34gyNg7l6hJzqlDm2
5.32,0059,disgust,2600,5.52,900,5.42,0.141421356237309,O4mOO2W80Od34gyNg7l6hJzqlDm2
2.91,1206,joy,2600,3.63,900,3.27,0.5091168824543141,O4mOO2W80Od34gyNg7l6hJzqlDm2
2.4,0844,joy,900,1.12,2600,1.76,0.9050966799187806,O4mOO2W80Od34gyNg7l6hJzqlDm2
6.11,1989,romance,2600,5.35,900,5.73,0.5374011537017765,O4mOO2W80Od34gyNg7l6hJzqlDm2
4.66,0464,disgust,2600,4.54,900,4.6,0.08485281374238578,O4mOO2W80Od34gyNg7l6hJzqlDm2
3.59,0877,sadness,900,2.65,2600,3.12,0.6646803743153546,O4mOO2W80Od34gyNg7l6hJzqlDm2
4.63,1279,sadness,2600,4.9,900,4.765000000000001,0.19091883092036815,O4mOO2W80Od34gyNg7l6hJzqlDm2
4.23,1503,joy,900,4.41,2600,4.32,0.12727922061357835,O4mOO2W80Od34gyNg7l6hJzqlDm2
4.27,0095,disgust,2600,5.05,900,4.66,0.5515432893255073,O4mOO2W80Od34gyNg7l6hJzqlDm2
5.14,1231,sadness,900,5.21,2600,5.175,0.049497474683058526,O4mOO2W80Od34gyNg7l6hJzqlDm2
4.21,1534,romance,900,4.51,2600,4.359999999999999,0.21213203435596412,O4mOO2W80Od34gyNg7l6hJzqlDm2
3.52,0307,romance,900,4.4,2600,3.96,0.6222539674441621,O4mOO2W80Od34gyNg7l6hJzqlDm2
4.53,1777,anxiety,2600,4.72,900,4.625,0.1343502884254437,O4mOO2W80Od34gyNg7l6hJzqlDm2
3.55,0282,disgust,900,4.88,2600,4.215,0.9404520189781083,O4mOO2W80Od34gyNg7l6hJzqlDm2
7.0,2121,anxiety,2600,7.0,900,7.0,0.0,O4mOO2W80Od34gyNg7l6hJzqlDm2
4.56,1281,joy,2600,4.65,900,4.605,0.0636396103067898,O4mOO2W80Od34gyNg7l6hJzqlDm2
4.17,0277,romance,900,4.82,2600,4.495,0.45961940777125615,O4mOO2W80Od34gyNg7l6hJzqlDm2
4.88,2130,anxiety,900,4.72,2600,4.8,0.1131370849898477,O4mOO2W80Od34gyNg7l6hJzqlDm2
7.0,0046,anxiety,2600,7.0,900,7.0,0.0,O4mOO2W80Od34gyNg7l6hJzqlDm2
4.94,0300,sadness,900,4.77,2600,4.855,0.12020815280171367,O4mOO2W80Od34gyNg7l6hJzqlDm2
4.46,0452,joy,900,4.57,2600,4.515000000000001,0.07778174593052045,O4mOO2W80Od34gyNg7l6hJzqlDm2
5.05,0648,anxiety,2600,5.86,900,5.455,0.5727564927611039,O4mOO2W80Od34gyNg7l6hJzqlDm2
2.99,0774,sadness,900,1.78,2600,2.3850000000000002,0.8555992052357226,O4mOO2W80Od34gyNg7l6hJzqlDm2
4.55,2007,romance,900,5.85,2600,5.199999999999999,0.9192388155425116,O4mOO2W80Od34gyNg7l6hJzqlDm2
7.0,1767,anxiety,900,7.0,2600,7.0,0.0,O4mOO2W80Od34gyNg7l6hJzqlDm2
5.83,0548,anxiety,2600,6.07,900,5.95,0.16970562748477155,O4mOO2W80Od34gyNg7l6hJzqlDm2
3.63,1171,joy,2600,3.33,900,3.48,0.21213203435596414,O4mOO2W80Od34gyNg7l6hJzqlDm2
5.66,1679,anxiety,2600,6.12,900,5.890000000000001,0.3252691193458118,O4mOO2W80Od34gyNg7l6hJzqlDm2
4.28,1191,joy,2600,4.13,900,4.205,0.10606601717798238,O4mOO2W80Od34gyNg7l6hJzqlDm2
4.51,1086,romance,2600,4.27,900,4.39,0.16970562748477155,O4mOO2W80Od34gyNg7l6hJzqlDm2
1.0,0758,anxiety,900,1.0,2600,1.0,0.0,O4mOO2W80Od34gyNg7l6hJzqlDm2
3.42,2067,disgust,2600,3.7,900,3.56,0.19798989873223347,O4mOO2W80Od34gyNg7l6hJzqlDm2
3.36,1167,sadness,2600,3.38,900,3.37,0.014142135623730963,O4mOO2W80Od34gyNg7l6hJzqlDm2
1.0,1511,sadness,2600,1.59,900,1.295,0.41719300090006306,O4mOO2W80Od34gyNg7l6hJzqlDm2
5.03,1683,joy,900,4.97,2600,5.0,0.0424264068711932,O4mOO2W80Od34gyNg7l6hJzqlDm2
,0911,anxiety,2600,6.35,900,6.35,,vTreiIt2JuefuP24EEhz5QRXwyq2
5.04,1848,joy,2600,4.42,900,4.73,0.4384062043356595,vTreiIt2JuefuP24EEhz5QRXwyq2
6.94,0548,anxiety,900,5.86,2600,6.4,0.7636753236814714,vTreiIt2JuefuP24EEhz5QRXwyq2
6.91,1231,sadness,2600,,900,6.91,,vTreiIt2JuefuP24EEhz5QRXwyq2
6.81,0464,disgust,900,6.7,2600,6.755,0.07778174593051983,vTreiIt2JuefuP24EEhz5QRXwyq2
6.98,1767,anxiety,2600,6.76,900,6.87,0.1555634918610409,vTreiIt2JuefuP24EEhz5QRXwyq2
1.99,2067,disgust,900,1.96,2600,1.975,0.021213203435596444,vTreiIt2JuefuP24EEhz5QRXwyq2
6.46,0218,disgust,900,6.6,2600,6.529999999999999,0.09899494936611643,vTreiIt2JuefuP24EEhz5QRXwyq2
6.99,1137,disgust,2600,6.46,900,6.725,0.37476659402887036,vTreiIt2JuefuP24EEhz5QRXwyq2
2.82,0600,sadness,2600,2.54,900,2.6799999999999997,0.19798989873223316,vTreiIt2JuefuP24EEhz5QRXwyq2
2.72,1037,anxiety,2600,2.89,900,2.805,0.12020815280171303,vTreiIt2JuefuP24EEhz5QRXwyq2
4.99,1428,joy,900,3.43,2600,4.21,1.1030865786510142,vTreiIt2JuefuP24EEhz5QRXwyq2
6.75,1434,disgust,900,6.91,2600,6.83,0.1131370849898477,vTreiIt2JuefuP24EEhz5QRXwyq2
6.76,0009,sadness,2600,6.06,900,6.41,0.4949747468305834,vTreiIt2JuefuP24EEhz5QRXwyq2
1.5,1756,romance,900,2.59,2600,2.045,0.7707463914933367,vTreiIt2JuefuP24EEhz5QRXwyq2
